,Alpha_o_7DAYMADRS_corr,Alpha_s_7DAYMADRS_corr,Beta_o_7DAYMADRS_corr,Beta_s_7DAYMADRS_corr,Gamma_o_7DAYMADRS_corr,Gamma_s_7DAYMADRS_corr,Theta_o_7DAYMADRS_corr,Theta_s_7DAYMADRS_corr
248,0.068860709,0.015850846,0.011461207,0.00869456,0.273599884,0.005428666,0.105768561,0.016095162
249,0.035687156,0.033256909,0.060462642,0.015157358,0.026819377,0.021256409,0.059444361,0.007922946
250,0.051113163,0.082605542,0.023011794,0.000763907,0.158903972,0.00352362,0.04697837,0.05283383
251,0.015821204,0.005148227,0.031215074,0.032415631,0.110615044,0.00957694,0.009010275,0.013335066
252,0.057904158,0.091865669,0.075449749,0.085470235,0.0175938,0.099310932,0.085855509,0.047123248
253,0.007962101,0.149671398,0.000308682,0.018464671,0.040994717,0.00080136,0.000728553,0.031281545
254,0.069276746,0.019262377,0.186054998,0.016271459,0.132117172,0.012577105,0.031033906,0.024210293
255,0.007757072,0.025731201,0.100255086,0.001184402,0.114244293,0.003629495,0.019917927,0.022137593
256,0.001942743,0.023865994,0.273716202,0.004211871,0.134442987,0.000363176,0.000180802,0.040295033
257,0.069886833,0.005332217,0.072434562,0.0117793,0.045245707,0.002258394,0.045138301,0.008132801
258,0.002858352,0.157151129,0.039241043,0.098245674,0.185772386,0.031977901,0.025955368,0.21618402
259,0.056730501,0.002376938,0.103463005,0.00566613,0.057582277,0.000399079,0.064755994,0.002656793
260,0.12090839,0.022977744,0.128868074,0.043673749,0.062839733,0.024886417,0.099964721,0.035973573
261,0.000314592,0.030841281,0.017954504,0.021222852,0.024540283,0.019816991,0.0149505,0.009982224
262,0.028092874,0.008187111,0.003418302,0.010215473,0.135520193,0.024775699,0.01266298,0.01362255
263,0.004624296,0.016250261,0.023436632,0.04120189,0.129577766,0.097751817,0.009420073,0.026843063
