...1,subject_id,Group,timepoint,frequency_band,measure,value
18,RS_004_deltas,0,24H,Beta,TC,-0.476142053
18,RS_004_deltas,0,24H,Delta,DTC,0.425851503
18,RS_004_deltas,0,24H,Delta,O,-0.027231274
18,RS_004_deltas,0,24H,Delta,S,0.573469143
18,RS_004_deltas,0,24H,Delta,TC,0.970538433
18,RS_004_deltas,0,24H,Gamma,DTC,-0.192853404
18,RS_004_deltas,0,24H,Gamma,O,-0.456832906
18,RS_004_deltas,0,24H,Gamma,S,-0.509254592
18,RS_004_deltas,0,24H,Gamma,TC,-0.533021256
18,RS_004_deltas,0,24H,Theta,DTC,-0.595954786
18,RS_004_deltas,0,24H,Theta,O,-0.293408964
18,RS_004_deltas,0,24H,Theta,S,-1.32907934
18,RS_004_deltas,0,24H,Theta,TC,-0.835672678
18,RS_004_deltas,0,24H,Wholeband,DTC,-0.736291544
18,RS_004_deltas,0,24H,Wholeband,O,-0.023512893
18,RS_004_deltas,0,24H,Wholeband,S,-1.306655121
18,RS_004_deltas,0,24H,Wholeband,TC,-0.763836982
19,RS_010_deltas,0,24H,Alpha,DTC,-1.82734854
19,RS_010_deltas,0,24H,Alpha,O,-0.163176385
19,RS_010_deltas,0,24H,Alpha,S,1.240621559
19,RS_010_deltas,0,24H,Alpha,TC,0.710061264
19,RS_010_deltas,0,24H,Beta,DTC,-2.341115204
19,RS_010_deltas,0,24H,Beta,O,0.076177873
19,RS_010_deltas,0,24H,Beta,S,0.753576419
19,RS_010_deltas,0,24H,Beta,TC,0.398049025
19,RS_010_deltas,0,24H,Delta,DTC,-1.775860114
19,RS_010_deltas,0,24H,Delta,O,0.085967598
19,RS_010_deltas,0,24H,Delta,S,-3.224724231
19,RS_010_deltas,0,24H,Delta,TC,-1.996602985
19,RS_010_deltas,0,24H,Gamma,DTC,-0.288116821
19,RS_010_deltas,0,24H,Gamma,O,-0.016693446
19,RS_010_deltas,0,24H,Gamma,S,0.76922229
19,RS_010_deltas,0,24H,Gamma,TC,0.130249834
19,RS_010_deltas,0,24H,Theta,DTC,-1.952352842
19,RS_010_deltas,0,24H,Theta,O,-0.28393345
19,RS_010_deltas,0,24H,Theta,S,0.656350919
19,RS_010_deltas,0,24H,Theta,TC,0.359911265
19,RS_010_deltas,0,24H,Wholeband,DTC,-1.830614572
19,RS_010_deltas,0,24H,Wholeband,O,-0.101146126
19,RS_010_deltas,0,24H,Wholeband,S,0.852939468
19,RS_010_deltas,0,24H,Wholeband,TC,0.438814669
20,RS_016_deltas,0,24H,Alpha,DTC,-0.2774019446153846
20,RS_016_deltas,0,24H,Alpha,O,0.03172302876923078
20,RS_016_deltas,0,24H,Alpha,S,-0.1124642402692308
20,RS_016_deltas,0,24H,Alpha,TC,-0.05060289107692309
20,RS_016_deltas,0,24H,Beta,DTC,-0.2212425766153846
20,RS_016_deltas,0,24H,Beta,O,-0.0052496723846153755
20,RS_016_deltas,0,24H,Beta,S,-0.13267642665384619
